,comb,obj
0,"('GLCabcpp',)",8.581712320160088
1,"('GLCptspp',)",8.451703433636315
2,"('HEX1',)",8.581712320160097
3,"('PGI',)",8.471787543676422
4,"('PFK',)",8.581712320160133
5,"('FBA',)",8.581712320160133
6,"('TPI',)",7.846666138154757
7,"('GAPD',)",6.2206345018010865
8,"('PGK',)",6.2206345018010865
9,"('PGM',)",6.846287701370958
10,"('ENO',)",6.846287701370958
11,"('PYK',)",8.581712320160154
12,"('LDH_D',)",8.581712320160154
13,"('PFL',)",8.581712320160154
14,"('ALCD2x',)",8.581712320160154
15,"('GLCabcpp', 'GLCptspp')",8.451703433636357
16,"('GLCabcpp', 'HEX1')",8.58171232016014
17,"('GLCabcpp', 'PGI')",8.471787543676461
18,"('GLCabcpp', 'PFK')",8.58171232016014
19,"('GLCabcpp', 'FBA')",8.58171232016014
20,"('GLCabcpp', 'TPI')",7.846666138154744
21,"('GLCabcpp', 'GAPD')",6.220634501801048
22,"('GLCabcpp', 'PGK')",6.220634501801048
23,"('GLCabcpp', 'PGM')",6.846287701370949
24,"('GLCabcpp', 'ENO')",6.846287701370949
25,"('GLCabcpp', 'PYK')",8.581712320160175
26,"('GLCabcpp', 'LDH_D')",8.581712320160175
27,"('GLCabcpp', 'PFL')",8.581712320160175
28,"('GLCabcpp', 'ALCD2x')",8.581712320160175
29,"('GLCptspp', 'HEX1')",8.451703433636395
30,"('GLCptspp', 'PGI')",8.451703433636395
31,"('GLCptspp', 'PFK')",8.451703433636379
32,"('GLCptspp', 'FBA')",8.451703433636379
33,"('GLCptspp', 'TPI')",7.781409504321006
34,"('GLCptspp', 'GAPD')",6.220634501801011
35,"('GLCptspp', 'PGK')",6.220634501801011
36,"('GLCptspp', 'PGM')",6.8462877013709145
37,"('GLCptspp', 'ENO')",6.8462877013709145
38,"('GLCptspp', 'PYK')",8.451703433636313
39,"('GLCptspp', 'LDH_D')",8.451703433636313
40,"('GLCptspp', 'PFL')",8.451703433636313
41,"('GLCptspp', 'ALCD2x')",8.451703433636313
42,"('HEX1', 'PGI')",8.471787543676458
43,"('HEX1', 'PFK')",8.581712320160046
44,"('HEX1', 'FBA')",8.581712320160046
45,"('HEX1', 'TPI')",7.846666138154698
46,"('HEX1', 'GAPD')",6.220634501801024
47,"('HEX1', 'PGK')",6.220634501801023
48,"('HEX1', 'PGM')",6.846287701370903
49,"('HEX1', 'ENO')",6.846287701370903
50,"('HEX1', 'PYK')",8.581712320160058
51,"('HEX1', 'LDH_D')",8.581712320160058
52,"('HEX1', 'PFL')",8.581712320160058
53,"('HEX1', 'ALCD2x')",8.581712320160058
54,"('PGI', 'PFK')",8.471787543676383
55,"('PGI', 'FBA')",8.471787543676383
56,"('PGI', 'TPI')",7.8466661381546405
57,"('PGI', 'GAPD')",6.220634501801062
58,"('PGI', 'PGK')",6.220634501801062
59,"('PGI', 'PGM')",6.78608703637096
60,"('PGI', 'ENO')",6.78608703637096
61,"('PGI', 'PYK')",8.471787543676484
62,"('PGI', 'LDH_D')",8.471787543676484
63,"('PGI', 'PFL')",8.471787543676484
64,"('PGI', 'ALCD2x')",8.471787543676484
65,"('PFK', 'FBA')",8.581712320160095
66,"('PFK', 'TPI')",7.846666138154717
67,"('PFK', 'GAPD')",6.220634501801029
68,"('PFK', 'PGK')",6.220634501801027
69,"('PFK', 'PGM')",6.846287701370926
70,"('PFK', 'ENO')",6.846287701370926
71,"('PFK', 'PYK')",8.581712320160046
72,"('PFK', 'LDH_D')",8.581712320160046
73,"('PFK', 'PFL')",8.581712320160046
74,"('PFK', 'ALCD2x')",8.581712320160046
75,"('FBA', 'TPI')",7.846666138154744
76,"('FBA', 'GAPD')",6.22063450180107
77,"('FBA', 'PGK')",6.220634501801071
