,comb,obj
0,"('GLCabcpp',)",8.581712320160081
1,"('GLCptspp',)",8.451703433636347
2,"('HEX1',)",8.581712320160129
3,"('PGI',)",8.471787543676454
4,"('PFK',)",8.581712320160122
5,"('FBA',)",8.581712320160122
6,"('TPI',)",7.846666138154743
7,"('GAPD',)",6.2206345018010465
8,"('PGK',)",6.220634501801045
9,"('PGM',)",6.846287701370947
10,"('ENO',)",6.846287701370947
11,"('PYK',)",8.581712320160104
12,"('GLCabcpp', 'GLCptspp')",8.451703433636325
13,"('GLCabcpp', 'HEX1')",8.581712320160104
14,"('GLCabcpp', 'PGI')",8.471787543676422
15,"('GLCabcpp', 'PFK')",8.581712320160099
16,"('GLCabcpp', 'FBA')",8.581712320160099
17,"('GLCabcpp', 'TPI')",7.846666138154727
18,"('GLCabcpp', 'GAPD')",6.2206345018011495
19,"('GLCabcpp', 'PGK')",6.2206345018011495
20,"('GLCabcpp', 'PGM')",6.846287701371031
21,"('GLCabcpp', 'ENO')",6.846287701371031
22,"('GLCabcpp', 'PYK')",8.581712320160221
23,"('GLCptspp', 'HEX1')",8.451703433636439
24,"('GLCptspp', 'PGI')",8.451703433636439
25,"('GLCptspp', 'PFK')",8.451703433636382
26,"('GLCptspp', 'FBA')",8.451703433636382
27,"('GLCptspp', 'TPI')",7.781409504320967
28,"('GLCptspp', 'GAPD')",6.220634501801071
29,"('GLCptspp', 'PGK')",6.220634501801072
30,"('GLCptspp', 'PGM')",6.8462877013709855
31,"('GLCptspp', 'ENO')",6.8462877013709855
32,"('GLCptspp', 'PYK')",8.451703433636322
33,"('HEX1', 'PGI')",8.471787543676433
34,"('HEX1', 'PFK')",8.581712320160118
35,"('HEX1', 'FBA')",8.581712320160118
36,"('HEX1', 'TPI')",7.846666138154757
37,"('HEX1', 'GAPD')",6.220634501801071
38,"('HEX1', 'PGK')",6.220634501801071
39,"('HEX1', 'PGM')",6.846287701370977
40,"('HEX1', 'ENO')",6.846287701370977
41,"('HEX1', 'PYK')",8.581712320160205
42,"('PGI', 'PFK')",8.471787543676534
43,"('PGI', 'FBA')",8.471787543676534
44,"('PGI', 'TPI')",7.8466661381547524
