,comb,obj,obj_rand
94,"('GLCabcpp', 'HEX1', 'PGM')",6.846287701370998,7.843820422551871
95,"('GLCabcpp', 'HEX1', 'ENO')",6.846287701370998,7.635095425079354
96,"('GLCabcpp', 'HEX1', 'PYK')",8.58171232016018,6.94427715578879
97,"('GLCabcpp', 'PGI', 'PFK')",8.471787543676552,8.228477465546318
98,"('GLCabcpp', 'PGI', 'FBA')",8.471787543676552,8.32272407743747
99,"('GLCabcpp', 'PGI', 'TPI')",7.846666138154837,6.285263936993615
100,"('GLCabcpp', 'PGI', 'GAPD')",6.2206345018010545,5.09772542258123
101,"('GLCabcpp', 'PGI', 'PGK')",6.2206345018010545,7.263306858479669
102,"('GLCabcpp', 'PGI', 'PGM')",6.7860870363709305,8.012416327385253
103,"('GLCabcpp', 'PGI', 'ENO')",6.786087036370933,6.119107911048256
104,"('GLCabcpp', 'PGI', 'PYK')",8.471787543676442,7.652003575638159
105,"('GLCabcpp', 'PFK', 'FBA')",8.581712320160115,7.457371799820444
106,"('GLCabcpp', 'PFK', 'TPI')",7.846666138154742,8.123827045579755
107,"('GLCabcpp', 'PFK', 'GAPD')",6.220634501801082,7.35350932720557
108,"('GLCabcpp', 'PFK', 'PGK')",6.220634501801082,5.387164606004829
109,"('GLCabcpp', 'PFK', 'PGM')",6.8462877013709384,6.492884836805889
110,"('GLCabcpp', 'PFK', 'ENO')",6.8462877013709384,5.493755547646294
111,"('GLCabcpp', 'PFK', 'PYK')",8.581712320160129,8.582009366310025
112,"('GLCabcpp', 'FBA', 'TPI')",7.846666138154797,9.356448836041508
113,"('GLCabcpp', 'FBA', 'GAPD')",6.2206345018011,5.911788754160128
114,"('GLCabcpp', 'FBA', 'PGK')",6.220634501801099,7.27075288184776
115,"('GLCabcpp', 'FBA', 'PGM')",6.84628770137101,8.19782868394618
116,"('GLCabcpp', 'FBA', 'ENO')",6.84628770137101,8.131250528990302
117,"('GLCabcpp', 'FBA', 'PYK')",8.581712320160188,7.181889085079667
118,"('GLCabcpp', 'TPI', 'GAPD')",0.0,1.0198439318964176
119,"('GLCabcpp', 'TPI', 'PGK')",0.0,0.7101167916550877
120,"('GLCabcpp', 'TPI', 'PGM')",6.8440541549193785,6.937845615422589
121,"('GLCabcpp', 'TPI', 'ENO')",6.8440541549193785,7.603962422166577
122,"('GLCabcpp', 'TPI', 'PYK')",7.846666138154785,7.8132096700013385
123,"('GLCabcpp', 'GAPD', 'PGK')",6.2206345018011024,6.960120633406463
124,"('GLCabcpp', 'GAPD', 'PGM')",6.128601626962395,7.279847408843514
125,"('GLCabcpp', 'GAPD', 'ENO')",6.128601626962395,4.9927176420700805
126,"('GLCabcpp', 'GAPD', 'PYK')",6.2206345018011024,7.336090494316214
127,"('GLCabcpp', 'PGK', 'PGM')",6.128601626962395,6.282327703486719
128,"('GLCabcpp', 'PGK', 'ENO')",6.128601626962395,7.058676254963228
129,"('GLCabcpp', 'PGK', 'PYK')",6.2206345018011024,6.101219893808486
130,"('GLCabcpp', 'PGM', 'ENO')",6.846287701370962,7.955670108905539
131,"('GLCabcpp', 'PGM', 'PYK')",6.846287701370962,5.938841866539747
132,"('GLCabcpp', 'ENO', 'PYK')",6.846287701370962,8.202012361327034
133,"('GLCptspp', 'HEX1', 'PGI')",8.419186303095234,10.079319444106783
134,"('GLCptspp', 'HEX1', 'PFK')",8.45170343363636,9.434103517731254
135,"('GLCptspp', 'HEX1', 'FBA')",8.45170343363636,6.966091957853738
136,"('GLCptspp', 'HEX1', 'TPI')",7.781409504320981,6.500970870609768
137,"('GLCptspp', 'HEX1', 'GAPD')",6.220634501801061,6.717203311841576
138,"('GLCptspp', 'HEX1', 'PGK')",6.220634501801061,6.272384233043542
139,"('GLCptspp', 'HEX1', 'PGM')",6.846287701370942,5.622292205184827
140,"('GLCptspp', 'HEX1', 'ENO')",6.846287701370942,7.587429560439271
141,"('GLCptspp', 'HEX1', 'PYK')",8.451703433636338,8.838163762121889
142,"('GLCptspp', 'PGI', 'PFK')",8.45170343363634,7.076787407309961
143,"('GLCptspp', 'PGI', 'FBA')",8.45170343363634,9.14437750995865
144,"('GLCptspp', 'PGI', 'TPI')",7.781409504320871,8.176199519698821
145,"('GLCptspp', 'PGI', 'GAPD')",6.220634501800977,6.185468408424586
146,"('GLCptspp', 'PGI', 'PGK')",6.220634501800976,6.472457007755618
147,"('GLCptspp', 'PGI', 'PGM')",6.786087036370846,5.735787403907158
148,"('GLCptspp', 'PGI', 'ENO')",6.786087036370846,5.8519745152097284
149,"('GLCptspp', 'PGI', 'PYK')",8.451703433636203,7.03319591668906
150,"('GLCptspp', 'PFK', 'FBA')",8.45170343363621,8.969767344624074
151,"('GLCptspp', 'PFK', 'TPI')",7.781409504321064,9.208365688187413
152,"('GLCptspp', 'PFK', 'GAPD')",6.220634501801145,7.332408230484044
153,"('GLCptspp', 'PFK', 'PGK')",6.220634501801144,6.968355955973328
154,"('GLCptspp', 'PFK', 'PGM')",6.846287701371032,5.959775725419788
155,"('GLCptspp', 'PFK', 'ENO')",6.846287701371032,5.486790970675815
156,"('GLCptspp', 'PFK', 'PYK')",8.451703433636446,9.940728653265316
157,"('GLCptspp', 'FBA', 'TPI')",7.781409504320951,8.112774357947023
158,"('GLCptspp', 'FBA', 'GAPD')",6.2206345018009666,6.140079320748821
159,"('GLCptspp', 'FBA', 'PGK')",6.220634501800974,5.609478612573426
160,"('GLCptspp', 'FBA', 'PGM')",6.846287701370949,7.755240423054369
161,"('GLCptspp', 'FBA', 'ENO')",6.846287701370949,5.553906698759149
162,"('GLCptspp', 'FBA', 'PYK')",8.45170343363637,7.089618395486935
163,"('GLCptspp', 'TPI', 'GAPD')",0.0,0.4957852933888234
164,"('GLCptspp', 'TPI', 'PGK')",0.0,1.9081473735805823
165,"('GLCptspp', 'TPI', 'PGM')",6.844054154919334,7.884157085516411
166,"('GLCptspp', 'TPI', 'ENO')",6.844054154919334,6.285261917428406
167,"('GLCptspp', 'TPI', 'PYK')",7.781409504320981,9.045407011187333
168,"('GLCptspp', 'GAPD', 'PGK')",6.2206345018010545,6.213272123983805
169,"('GLCptspp', 'GAPD', 'PGM')",6.128601626962343,6.478365885658874
170,"('GLCptspp', 'GAPD', 'ENO')",6.128601626962343,5.668370162316694
171,"('GLCptspp', 'GAPD', 'PYK')",6.2206345018010545,6.960480850423933
172,"('GLCptspp', 'PGK', 'PGM')",6.128601626962343,5.837862711681977
173,"('GLCptspp', 'PGK', 'ENO')",6.128601626962343,5.6216145174121275
174,"('GLCptspp', 'PGK', 'PYK')",6.2206345018010545,7.182388716557475
175,"('GLCptspp', 'PGM', 'ENO')",6.846287701370947,5.716465423955501
176,"('GLCptspp', 'PGM', 'PYK')",6.846287701370947,7.185914473660358
177,"('GLCptspp', 'ENO', 'PYK')",6.846287701370947,7.456108316718307
178,"('HEX1', 'PGI', 'PFK')",8.471787543676509,7.403963376226902
179,"('HEX1', 'PGI', 'FBA')",8.471787543676509,7.582023141931937
180,"('HEX1', 'PGI', 'TPI')",7.6160520126613385,7.608949138502439
181,"('HEX1', 'PGI', 'GAPD')",5.81511980233874,5.202294493829549
182,"('HEX1', 'PGI', 'PGK')",5.8151198023387405,6.914923140280562
183,"('HEX1', 'PGI', 'PGM')",6.305656005618318,5.089804253371464
184,"('HEX1', 'PGI', 'ENO')",6.305656005618318,6.746211689339239
185,"('HEX1', 'PGI', 'PYK')",8.471787543676475,7.7726283213496
186,"('HEX1', 'PFK', 'FBA')",8.581712320160147,7.878030170113486
187,"('HEX1', 'PFK', 'TPI')",7.846666138154746,7.178828904866209
188,"('HEX1', 'PFK', 'GAPD')",6.2206345018010625,5.223494214925045
189,"('HEX1', 'PFK', 'PGK')",6.220634501801062,5.766977559006177
190,"('HEX1', 'PFK', 'PGM')",6.846287701370963,7.309362270379983
191,"('HEX1', 'PFK', 'ENO')",6.846287701370963,6.947872552809976
192,"('HEX1', 'PFK', 'PYK')",8.581712320160129,8.07625601968711
193,"('HEX1', 'FBA', 'TPI')",7.846666138154893,9.141810026349765
194,"('HEX1', 'FBA', 'GAPD')",6.220634501801215,5.036146003851025
195,"('HEX1', 'FBA', 'PGK')",6.220634501801216,6.611231251735991
196,"('HEX1', 'FBA', 'PGM')",6.846287701371107,6.459590302842209
197,"('HEX1', 'FBA', 'ENO')",6.846287701371107,6.508548607436203
198,"('HEX1', 'FBA', 'PYK')",8.581712320160266,8.823953440838746
199,"('HEX1', 'TPI', 'GAPD')",0.0,1.5998978823978998
200,"('HEX1', 'TPI', 'PGK')",0.0,0.058606284182019186
201,"('HEX1', 'TPI', 'PGM')",6.844054154919365,6.004809356477001
202,"('HEX1', 'TPI', 'ENO')",6.844054154919365,7.913211808602807
203,"('HEX1', 'TPI', 'PYK')",7.846666138154795,7.811594360442727
204,"('HEX1', 'GAPD', 'PGK')",6.220634501801112,5.614163161317668
205,"('HEX1', 'GAPD', 'PGM')",6.128601626962401,5.792210821055049
206,"('HEX1', 'GAPD', 'ENO')",6.128601626962401,5.060690347879528
207,"('HEX1', 'GAPD', 'PYK')",6.220634501801112,6.0302255839821175
208,"('HEX1', 'PGK', 'PGM')",6.128601626962399,5.635676692715841
209,"('HEX1', 'PGK', 'ENO')",6.128601626962399,4.925047896592491
210,"('HEX1', 'PGK', 'PYK')",6.220634501801112,6.5776153477102834
211,"('HEX1', 'PGM', 'ENO')",6.846287701371005,8.061734397048795
212,"('HEX1', 'PGM', 'PYK')",6.846287701371005,6.461155014724236
213,"('HEX1', 'ENO', 'PYK')",6.846287701371005,6.019609178194224
214,"('PGI', 'PFK', 'FBA')",8.47178754367647,7.709979993951934
215,"('PGI', 'PFK', 'TPI')",7.846666138154732,7.693237443316824
216,"('PGI', 'PFK', 'GAPD')",6.220634501801053,6.274405807314105
217,"('PGI', 'PFK', 'PGK')",6.220634501801053,7.407329162450492
218,"('PGI', 'PFK', 'PGM')",6.786087036370945,7.617200090585111
219,"('PGI', 'PFK', 'ENO')",6.786087036370945,7.301512490266538
220,"('PGI', 'PFK', 'PYK')",8.471787543676452,7.766471980936504
221,"('PGI', 'FBA', 'TPI')",7.846666138154749,9.03392626943946
222,"('PGI', 'FBA', 'GAPD')",6.220634501801038,5.655483816853988
223,"('PGI', 'FBA', 'PGK')",6.220634501801038,6.348614734369223
224,"('PGI', 'FBA', 'PGM')",6.786087036370996,5.969603504456884
225,"('PGI', 'FBA', 'ENO')",6.786087036370996,7.25675356940626
226,"('PGI', 'FBA', 'PYK')",8.471787543676479,9.650746438373952
227,"('PGI', 'TPI', 'GAPD')",0.0,1.3222263635617524
228,"('PGI', 'TPI', 'PGK')",0.0,0.6152133555797044
229,"('PGI', 'TPI', 'PGM')",6.784411876532248,8.05217665070832
230,"('PGI', 'TPI', 'ENO')",6.784411876532248,5.496020492496785
231,"('PGI', 'TPI', 'PYK')",7.846666138154754,7.319170122936617
232,"('PGI', 'GAPD', 'PGK')",6.22063450180106,5.052266075216381
233,"('PGI', 'GAPD', 'PGM')",6.1286016269623484,5.640665510074508
234,"('PGI', 'GAPD', 'ENO')",6.128601626962349,5.137098806188005
235,"('PGI', 'GAPD', 'PYK')",6.22063450180106,7.271087840748616
236,"('PGI', 'PGK', 'PGM')",6.12860162696235,6.082662019702732
237,"('PGI', 'PGK', 'ENO')",6.128601626962347,5.587497174085264
238,"('PGI', 'PGK', 'PYK')",6.22063450180106,7.187290073009612
239,"('PGI', 'PGM', 'ENO')",6.786087036370967,5.618594973676492
240,"('PGI', 'PGM', 'PYK')",6.786087036370966,6.297601559263819
241,"('PGI', 'ENO', 'PYK')",6.786087036370967,6.437110076067535
242,"('PFK', 'FBA', 'TPI')",7.84666613815476,7.712857210264099
243,"('PFK', 'FBA', 'GAPD')",6.220634501801097,5.221981580570624
244,"('PFK', 'FBA', 'PGK')",6.220634501801097,6.244853009321394
245,"('PFK', 'FBA', 'PGM')",6.846287701370981,6.881174378894741
246,"('PFK', 'FBA', 'ENO')",6.846287701370981,5.480731120503987
247,"('PFK', 'FBA', 'PYK')",8.581712320160149,8.733536875637494
248,"('PFK', 'TPI', 'GAPD')",0.0,1.7697821761434664
249,"('PFK', 'TPI', 'PGK')",0.0,0.3189694412940325
250,"('PFK', 'TPI', 'PGM')",6.84405415491937,6.898617940350941
251,"('PFK', 'TPI', 'ENO')",6.84405415491937,7.975190799967479
252,"('PFK', 'TPI', 'PYK')",7.8466661381547835,8.68890604703348
253,"('PFK', 'GAPD', 'PGK')",6.220634501801065,5.922744416943314
254,"('PFK', 'GAPD', 'PGM')",6.128601626962342,4.92414515261266
255,"('PFK', 'GAPD', 'ENO')",6.128601626962342,6.03124216978142
256,"('PFK', 'GAPD', 'PYK')",6.220634501801065,6.361875603884011
257,"('PFK', 'PGK', 'PGM')",6.128601626962342,5.565536568421596
258,"('PFK', 'PGK', 'ENO')",6.128601626962342,6.775429840818694
259,"('PFK', 'PGK', 'PYK')",6.220634501801065,6.353140191960552
260,"('PFK', 'PGM', 'ENO')",6.8462877013709615,7.405079877232984
261,"('PFK', 'PGM', 'PYK')",6.8462877013709615,7.10794676947954
262,"('PFK', 'ENO', 'PYK')",6.8462877013709615,7.908565995748244
263,"('FBA', 'TPI', 'GAPD')",0.0,0.406296952951827
264,"('FBA', 'TPI', 'PGK')",0.0,1.1460865546370098
265,"('FBA', 'TPI', 'PGM')",6.844054154919354,7.487401888469837
266,"('FBA', 'TPI', 'ENO')",6.844054154919354,6.411228703333711
267,"('FBA', 'TPI', 'PYK')",7.846666138154768,8.310020501600242
268,"('FBA', 'GAPD', 'PGK')",6.220634501801056,6.974881193421818
269,"('FBA', 'GAPD', 'PGM')",6.128601626962347,5.944132419550557
270,"('FBA', 'GAPD', 'ENO')",6.128601626962347,7.2065234564673535
271,"('FBA', 'GAPD', 'PYK')",6.220634501801056,6.02456025419125
272,"('FBA', 'PGK', 'PGM')",6.128601626962347,6.35169438158776
273,"('FBA', 'PGK', 'ENO')",6.128601626962347,5.712457858759323
274,"('FBA', 'PGK', 'PYK')",6.220634501801056,6.905043228181853
275,"('FBA', 'PGM', 'ENO')",6.846287701370968,6.469130169366812
276,"('FBA', 'PGM', 'PYK')",6.846287701370968,7.751613093351659
277,"('FBA', 'ENO', 'PYK')",6.846287701370968,7.078341124220038
278,"('TPI', 'GAPD', 'PGK')",0.0,0.6034555719873127
279,"('TPI', 'GAPD', 'PGM')",0.0,1.4392437843991883
280,"('TPI', 'GAPD', 'ENO')",0.0,1.6065075180684913
281,"('TPI', 'GAPD', 'PYK')",0.0,1.2948758084697045
282,"('TPI', 'PGK', 'PGM')",0.0,0.23984479361230604
283,"('TPI', 'PGK', 'ENO')",0.0,1.6187800003591721
284,"('TPI', 'PGK', 'PYK')",0.0,1.525133589016906
285,"('TPI', 'PGM', 'ENO')",6.8440541549193625,6.3342930357661915
286,"('TPI', 'PGM', 'PYK')",6.8440541549193625,6.887813205901789
