,comb,obj,obj_rand,GLCabcpp,GLCptspp,HEX1,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,PYK
55,"('PFK', 'ENO')",6.846287701370943,6.070641593544043,0,0,0,0,1,0,0,0,0,0,1,0
56,"('PFK', 'PYK')",8.581712320160197,9.572319772868822,0,0,0,0,1,0,0,0,0,0,0,1
57,"('FBA', 'TPI')",7.846666138154814,8.081767938656599,0,0,0,0,0,1,1,0,0,0,0,0
58,"('FBA', 'GAPD')",6.220634501801111,6.178159327089617,0,0,0,0,0,1,0,1,0,0,0,0
59,"('FBA', 'PGK')",6.220634501801114,5.607493407869074,0,0,0,0,0,1,0,0,1,0,0,0
60,"('FBA', 'PGM')",6.846287701371005,6.597605452891453,0,0,0,0,0,1,0,0,0,1,0,0
61,"('FBA', 'ENO')",6.846287701371005,8.195198275790412,0,0,0,0,0,1,0,0,0,0,1,0
62,"('FBA', 'PYK')",8.5817123201602,10.133185280863309,0,0,0,0,0,1,0,0,0,0,0,1
63,"('TPI', 'GAPD')",0.0,0.5838134891012567,0,0,0,0,0,0,1,1,0,0,0,0
64,"('TPI', 'PGK')",0.0,1.6381497989574834,0,0,0,0,0,0,1,0,1,0,0,0
65,"('TPI', 'PGM')",6.844054154919344,7.887974222086342,0,0,0,0,0,0,1,0,0,1,0,0
66,"('TPI', 'ENO')",6.844054154919346,5.791683374690032,0,0,0,0,0,0,1,0,0,0,1,0
67,"('TPI', 'PYK')",7.846666138154795,7.066813683197812,0,0,0,0,0,0,1,0,0,0,0,1
68,"('GAPD', 'PGK')",6.220634501801084,7.435180113984013,0,0,0,0,0,0,0,1,1,0,0,0
69,"('GAPD', 'PGM')",6.128601626962376,5.023318945762169,0,0,0,0,0,0,0,1,0,1,0,0
70,"('GAPD', 'ENO')",6.128601626962376,6.056452364525056,0,0,0,0,0,0,0,1,0,0,1,0
71,"('GAPD', 'PYK')",6.220634501801084,7.4155279569624355,0,0,0,0,0,0,0,1,0,0,0,1
72,"('PGK', 'PGM')",6.128601626962376,6.578703953969068,0,0,0,0,0,0,0,0,1,1,0,0
73,"('PGK', 'ENO')",6.128601626962376,5.669098261848366,0,0,0,0,0,0,0,0,1,0,1,0
74,"('PGK', 'PYK')",6.220634501801084,6.382303536999718,0,0,0,0,0,0,0,0,1,0,0,1
75,"('PGM', 'ENO')",6.846287701370967,6.629698490308049,0,0,0,0,0,0,0,0,0,1,1,0
76,"('PGM', 'PYK')",6.846287701370967,7.126726301617193,0,0,0,0,0,0,0,0,0,1,0,1
77,"('ENO', 'PYK')",6.846287701370967,7.539060017976568,0,0,0,0,0,0,0,0,0,0,1,1
78,"('GLCabcpp', 'GLCptspp', 'HEX1')",8.451703433636368,9.688009797759307,1,1,1,0,0,0,0,0,0,0,0,0
79,"('GLCabcpp', 'GLCptspp', 'PGI')",8.451703433636368,7.34972910034145,1,1,0,1,0,0,0,0,0,0,0,0
80,"('GLCabcpp', 'GLCptspp', 'PFK')",8.45170343363637,9.141450586307757,1,1,0,0,1,0,0,0,0,0,0,0
81,"('GLCabcpp', 'GLCptspp', 'FBA')",8.45170343363637,9.059727525477866,1,1,0,0,0,1,0,0,0,0,0,0
82,"('GLCabcpp', 'GLCptspp', 'TPI')",7.781409504321047,6.571290460295073,1,1,0,0,0,0,1,0,0,0,0,0
83,"('GLCabcpp', 'GLCptspp', 'GAPD')",6.22063450180113,6.922840513428847,1,1,0,0,0,0,0,1,0,0,0,0
84,"('GLCabcpp', 'GLCptspp', 'PGK')",6.22063450180113,6.530445155103656,1,1,0,0,0,0,0,0,1,0,0,0
85,"('GLCabcpp', 'GLCptspp', 'PGM')",6.8462877013710175,5.51439733856095,1,1,0,0,0,0,0,0,0,1,0,0
86,"('GLCabcpp', 'GLCptspp', 'ENO')",6.8462877013710175,6.559573689013521,1,1,0,0,0,0,0,0,0,0,1,0
87,"('GLCabcpp', 'GLCptspp', 'PYK')",8.451703433636427,8.337354565628987,1,1,0,0,0,0,0,0,0,0,0,1
88,"('GLCabcpp', 'HEX1', 'PGI')",8.471787543676527,7.765350692615241,1,0,1,1,0,0,0,0,0,0,0,0
89,"('GLCabcpp', 'HEX1', 'PFK')",8.581712320160209,10.086002117315434,1,0,1,0,1,0,0,0,0,0,0,0
90,"('GLCabcpp', 'HEX1', 'FBA')",8.581712320160209,6.9208473385092075,1,0,1,0,0,1,0,0,0,0,0,0
91,"('GLCabcpp', 'HEX1', 'TPI')",7.846666138154767,8.173804463090796,1,0,1,0,0,0,1,0,0,0,0,0
92,"('GLCabcpp', 'HEX1', 'GAPD')",6.220634501801096,6.830012009283166,1,0,1,0,0,0,0,1,0,0,0,0
93,"('GLCabcpp', 'HEX1', 'PGK')",6.220634501801096,7.3724621347090284,1,0,1,0,0,0,0,0,1,0,0,0
94,"('GLCabcpp', 'HEX1', 'PGM')",6.846287701370998,7.843820422551871,1,0,1,0,0,0,0,0,0,1,0,0
95,"('GLCabcpp', 'HEX1', 'ENO')",6.846287701370998,7.635095425079354,1,0,1,0,0,0,0,0,0,0,1,0
96,"('GLCabcpp', 'HEX1', 'PYK')",8.58171232016018,6.94427715578879,1,0,1,0,0,0,0,0,0,0,0,1
97,"('GLCabcpp', 'PGI', 'PFK')",8.471787543676552,8.228477465546318,1,0,0,1,1,0,0,0,0,0,0,0
98,"('GLCabcpp', 'PGI', 'FBA')",8.471787543676552,8.32272407743747,1,0,0,1,0,1,0,0,0,0,0,0
99,"('GLCabcpp', 'PGI', 'TPI')",7.846666138154837,6.285263936993615,1,0,0,1,0,0,1,0,0,0,0,0
100,"('GLCabcpp', 'PGI', 'GAPD')",6.2206345018010545,5.09772542258123,1,0,0,1,0,0,0,1,0,0,0,0
101,"('GLCabcpp', 'PGI', 'PGK')",6.2206345018010545,7.263306858479669,1,0,0,1,0,0,0,0,1,0,0,0
102,"('GLCabcpp', 'PGI', 'PGM')",6.7860870363709305,8.012416327385253,1,0,0,1,0,0,0,0,0,1,0,0
103,"('GLCabcpp', 'PGI', 'ENO')",6.786087036370933,6.119107911048256,1,0,0,1,0,0,0,0,0,0,1,0
104,"('GLCabcpp', 'PGI', 'PYK')",8.471787543676442,7.652003575638159,1,0,0,1,0,0,0,0,0,0,0,1
105,"('GLCabcpp', 'PFK', 'FBA')",8.581712320160115,7.457371799820444,1,0,0,0,1,1,0,0,0,0,0,0
106,"('GLCabcpp', 'PFK', 'TPI')",7.846666138154742,8.123827045579755,1,0,0,0,1,0,1,0,0,0,0,0
107,"('GLCabcpp', 'PFK', 'GAPD')",6.220634501801082,7.35350932720557,1,0,0,0,1,0,0,1,0,0,0,0
108,"('GLCabcpp', 'PFK', 'PGK')",6.220634501801082,5.387164606004829,1,0,0,0,1,0,0,0,1,0,0,0
109,"('GLCabcpp', 'PFK', 'PGM')",6.8462877013709384,6.492884836805889,1,0,0,0,1,0,0,0,0,1,0,0
110,"('GLCabcpp', 'PFK', 'ENO')",6.8462877013709384,5.493755547646294,1,0,0,0,1,0,0,0,0,0,1,0
111,"('GLCabcpp', 'PFK', 'PYK')",8.581712320160129,8.582009366310025,1,0,0,0,1,0,0,0,0,0,0,1
112,"('GLCabcpp', 'FBA', 'TPI')",7.846666138154797,9.356448836041508,1,0,0,0,0,1,1,0,0,0,0,0
113,"('GLCabcpp', 'FBA', 'GAPD')",6.2206345018011,5.911788754160128,1,0,0,0,0,1,0,1,0,0,0,0
114,"('GLCabcpp', 'FBA', 'PGK')",6.220634501801099,7.27075288184776,1,0,0,0,0,1,0,0,1,0,0,0
115,"('GLCabcpp', 'FBA', 'PGM')",6.84628770137101,8.19782868394618,1,0,0,0,0,1,0,0,0,1,0,0
116,"('GLCabcpp', 'FBA', 'ENO')",6.84628770137101,8.131250528990302,1,0,0,0,0,1,0,0,0,0,1,0
117,"('GLCabcpp', 'FBA', 'PYK')",8.581712320160188,7.181889085079667,1,0,0,0,0,1,0,0,0,0,0,1
118,"('GLCabcpp', 'TPI', 'GAPD')",0.0,1.0198439318964176,1,0,0,0,0,0,1,1,0,0,0,0
119,"('GLCabcpp', 'TPI', 'PGK')",0.0,0.7101167916550877,1,0,0,0,0,0,1,0,1,0,0,0
120,"('GLCabcpp', 'TPI', 'PGM')",6.8440541549193785,6.937845615422589,1,0,0,0,0,0,1,0,0,1,0,0
121,"('GLCabcpp', 'TPI', 'ENO')",6.8440541549193785,7.603962422166577,1,0,0,0,0,0,1,0,0,0,1,0
122,"('GLCabcpp', 'TPI', 'PYK')",7.846666138154785,7.8132096700013385,1,0,0,0,0,0,1,0,0,0,0,1
123,"('GLCabcpp', 'GAPD', 'PGK')",6.2206345018011024,6.960120633406463,1,0,0,0,0,0,0,1,1,0,0,0
124,"('GLCabcpp', 'GAPD', 'PGM')",6.128601626962395,7.279847408843514,1,0,0,0,0,0,0,1,0,1,0,0
125,"('GLCabcpp', 'GAPD', 'ENO')",6.128601626962395,4.9927176420700805,1,0,0,0,0,0,0,1,0,0,1,0
126,"('GLCabcpp', 'GAPD', 'PYK')",6.2206345018011024,7.336090494316214,1,0,0,0,0,0,0,1,0,0,0,1
127,"('GLCabcpp', 'PGK', 'PGM')",6.128601626962395,6.282327703486719,1,0,0,0,0,0,0,0,1,1,0,0
128,"('GLCabcpp', 'PGK', 'ENO')",6.128601626962395,7.058676254963228,1,0,0,0,0,0,0,0,1,0,1,0
129,"('GLCabcpp', 'PGK', 'PYK')",6.2206345018011024,6.101219893808486,1,0,0,0,0,0,0,0,1,0,0,1
130,"('GLCabcpp', 'PGM', 'ENO')",6.846287701370962,7.955670108905539,1,0,0,0,0,0,0,0,0,1,1,0
131,"('GLCabcpp', 'PGM', 'PYK')",6.846287701370962,5.938841866539747,1,0,0,0,0,0,0,0,0,1,0,1
132,"('GLCabcpp', 'ENO', 'PYK')",6.846287701370962,8.202012361327034,1,0,0,0,0,0,0,0,0,0,1,1
133,"('GLCptspp', 'HEX1', 'PGI')",8.419186303095234,10.079319444106783,0,1,1,1,0,0,0,0,0,0,0,0
134,"('GLCptspp', 'HEX1', 'PFK')",8.45170343363636,9.434103517731254,0,1,1,0,1,0,0,0,0,0,0,0
135,"('GLCptspp', 'HEX1', 'FBA')",8.45170343363636,6.966091957853738,0,1,1,0,0,1,0,0,0,0,0,0
136,"('GLCptspp', 'HEX1', 'TPI')",7.781409504320981,6.500970870609768,0,1,1,0,0,0,1,0,0,0,0,0
137,"('GLCptspp', 'HEX1', 'GAPD')",6.220634501801061,6.717203311841576,0,1,1,0,0,0,0,1,0,0,0,0
138,"('GLCptspp', 'HEX1', 'PGK')",6.220634501801061,6.272384233043542,0,1,1,0,0,0,0,0,1,0,0,0
139,"('GLCptspp', 'HEX1', 'PGM')",6.846287701370942,5.622292205184827,0,1,1,0,0,0,0,0,0,1,0,0
140,"('GLCptspp', 'HEX1', 'ENO')",6.846287701370942,7.587429560439271,0,1,1,0,0,0,0,0,0,0,1,0
141,"('GLCptspp', 'HEX1', 'PYK')",8.451703433636338,8.838163762121889,0,1,1,0,0,0,0,0,0,0,0,1
142,"('GLCptspp', 'PGI', 'PFK')",8.45170343363634,7.076787407309961,0,1,0,1,1,0,0,0,0,0,0,0
143,"('GLCptspp', 'PGI', 'FBA')",8.45170343363634,9.14437750995865,0,1,0,1,0,1,0,0,0,0,0,0
144,"('GLCptspp', 'PGI', 'TPI')",7.781409504320871,8.176199519698821,0,1,0,1,0,0,1,0,0,0,0,0
145,"('GLCptspp', 'PGI', 'GAPD')",6.220634501800977,6.185468408424586,0,1,0,1,0,0,0,1,0,0,0,0
146,"('GLCptspp', 'PGI', 'PGK')",6.220634501800976,6.472457007755618,0,1,0,1,0,0,0,0,1,0,0,0
147,"('GLCptspp', 'PGI', 'PGM')",6.786087036370846,5.735787403907158,0,1,0,1,0,0,0,0,0,1,0,0
148,"('GLCptspp', 'PGI', 'ENO')",6.786087036370846,5.8519745152097284,0,1,0,1,0,0,0,0,0,0,1,0
149,"('GLCptspp', 'PGI', 'PYK')",8.451703433636203,7.03319591668906,0,1,0,1,0,0,0,0,0,0,0,1
150,"('GLCptspp', 'PFK', 'FBA')",8.45170343363621,8.969767344624074,0,1,0,0,1,1,0,0,0,0,0,0
151,"('GLCptspp', 'PFK', 'TPI')",7.781409504321064,9.208365688187413,0,1,0,0,1,0,1,0,0,0,0,0
152,"('GLCptspp', 'PFK', 'GAPD')",6.220634501801145,7.332408230484044,0,1,0,0,1,0,0,1,0,0,0,0
153,"('GLCptspp', 'PFK', 'PGK')",6.220634501801144,6.968355955973328,0,1,0,0,1,0,0,0,1,0,0,0
154,"('GLCptspp', 'PFK', 'PGM')",6.846287701371032,5.959775725419788,0,1,0,0,1,0,0,0,0,1,0,0
155,"('GLCptspp', 'PFK', 'ENO')",6.846287701371032,5.486790970675815,0,1,0,0,1,0,0,0,0,0,1,0
156,"('GLCptspp', 'PFK', 'PYK')",8.451703433636446,9.940728653265316,0,1,0,0,1,0,0,0,0,0,0,1
157,"('GLCptspp', 'FBA', 'TPI')",7.781409504320951,8.112774357947023,0,1,0,0,0,1,1,0,0,0,0,0
158,"('GLCptspp', 'FBA', 'GAPD')",6.2206345018009666,6.140079320748821,0,1,0,0,0,1,0,1,0,0,0,0
159,"('GLCptspp', 'FBA', 'PGK')",6.220634501800974,5.609478612573426,0,1,0,0,0,1,0,0,1,0,0,0
160,"('GLCptspp', 'FBA', 'PGM')",6.846287701370949,7.755240423054369,0,1,0,0,0,1,0,0,0,1,0,0
161,"('GLCptspp', 'FBA', 'ENO')",6.846287701370949,5.553906698759149,0,1,0,0,0,1,0,0,0,0,1,0
162,"('GLCptspp', 'FBA', 'PYK')",8.45170343363637,7.089618395486935,0,1,0,0,0,1,0,0,0,0,0,1
163,"('GLCptspp', 'TPI', 'GAPD')",0.0,0.4957852933888234,0,1,0,0,0,0,1,1,0,0,0,0
164,"('GLCptspp', 'TPI', 'PGK')",0.0,1.9081473735805823,0,1,0,0,0,0,1,0,1,0,0,0
165,"('GLCptspp', 'TPI', 'PGM')",6.844054154919334,7.884157085516411,0,1,0,0,0,0,1,0,0,1,0,0
166,"('GLCptspp', 'TPI', 'ENO')",6.844054154919334,6.285261917428406,0,1,0,0,0,0,1,0,0,0,1,0
167,"('GLCptspp', 'TPI', 'PYK')",7.781409504320981,9.045407011187333,0,1,0,0,0,0,1,0,0,0,0,1
168,"('GLCptspp', 'GAPD', 'PGK')",6.2206345018010545,6.213272123983805,0,1,0,0,0,0,0,1,1,0,0,0
169,"('GLCptspp', 'GAPD', 'PGM')",6.128601626962343,6.478365885658874,0,1,0,0,0,0,0,1,0,1,0,0
170,"('GLCptspp', 'GAPD', 'ENO')",6.128601626962343,5.668370162316694,0,1,0,0,0,0,0,1,0,0,1,0
171,"('GLCptspp', 'GAPD', 'PYK')",6.2206345018010545,6.960480850423933,0,1,0,0,0,0,0,1,0,0,0,1
172,"('GLCptspp', 'PGK', 'PGM')",6.128601626962343,5.837862711681977,0,1,0,0,0,0,0,0,1,1,0,0
173,"('GLCptspp', 'PGK', 'ENO')",6.128601626962343,5.6216145174121275,0,1,0,0,0,0,0,0,1,0,1,0
174,"('GLCptspp', 'PGK', 'PYK')",6.2206345018010545,7.182388716557475,0,1,0,0,0,0,0,0,1,0,0,1
175,"('GLCptspp', 'PGM', 'ENO')",6.846287701370947,5.716465423955501,0,1,0,0,0,0,0,0,0,1,1,0
176,"('GLCptspp', 'PGM', 'PYK')",6.846287701370947,7.185914473660358,0,1,0,0,0,0,0,0,0,1,0,1
177,"('GLCptspp', 'ENO', 'PYK')",6.846287701370947,7.456108316718307,0,1,0,0,0,0,0,0,0,0,1,1
178,"('HEX1', 'PGI', 'PFK')",8.471787543676509,7.403963376226902,0,0,1,1,1,0,0,0,0,0,0,0
179,"('HEX1', 'PGI', 'FBA')",8.471787543676509,7.582023141931937,0,0,1,1,0,1,0,0,0,0,0,0
180,"('HEX1', 'PGI', 'TPI')",7.6160520126613385,7.608949138502439,0,0,1,1,0,0,1,0,0,0,0,0
181,"('HEX1', 'PGI', 'GAPD')",5.81511980233874,5.202294493829549,0,0,1,1,0,0,0,1,0,0,0,0
182,"('HEX1', 'PGI', 'PGK')",5.8151198023387405,6.914923140280562,0,0,1,1,0,0,0,0,1,0,0,0
183,"('HEX1', 'PGI', 'PGM')",6.305656005618318,5.089804253371464,0,0,1,1,0,0,0,0,0,1,0,0
184,"('HEX1', 'PGI', 'ENO')",6.305656005618318,6.746211689339239,0,0,1,1,0,0,0,0,0,0,1,0
185,"('HEX1', 'PGI', 'PYK')",8.471787543676475,7.7726283213496,0,0,1,1,0,0,0,0,0,0,0,1
