Comb,growthRate,minProd,maxProd,combList,ACALD,ALCD2x,GLCabcpp,GND,HEX1,LDH_D,PFL,PFK,PYK,TKT2
"LDH_D, PFL",0.189214056431868,0.0627176292963228,0.0627477816724406,"['LDH_D', 'PFL']",0,0,0,0,0,1,1,0,0,0
"LDH_D, PFK",0.241501557097329,0.0800490531962309,0.0800559410718013,"['LDH_D', 'PFK']",0,0,0,0,0,1,0,1,0,0
"LDH_D, PYK",0.241501557097076,0.080049053196284,0.0800559410790298,"['LDH_D', 'PYK']",0,0,0,0,0,1,0,0,1,0
"LDH_D, TKT2",0.239585570581816,0.079413968172244,0.0794225508520821,"['LDH_D', 'TKT2']",0,0,0,0,0,1,0,0,0,1
"PFL, PFK",0.189214056431898,0.0627176292962914,0.0627477815296259,"['PFL', 'PFK']",0,0,0,0,0,0,1,1,0,0
"PFL, PYK",0.189214056432428,0.0627176292962079,0.0627477815556785,"['PFL', 'PYK']",0,0,0,0,0,0,1,0,1,0
"PFL, TKT2",0.183109211168102,0.0606941078690406,1.41479565544078,"['PFL', 'TKT2']",0,0,0,0,0,0,1,0,0,1
"PFK, PYK",0.241501557097233,0.0800490531963236,0.0800559410785166,"['PFK', 'PYK']",0,0,0,0,0,0,0,1,1,0
"PFK, TKT2",0.239585570581831,0.0794139681724221,0.079422550816701,"['PFK', 'TKT2']",0,0,0,0,0,0,0,1,0,1
"PYK, TKT2",0.239585570581654,0.0794139681724463,0.07942255083983,"['PYK', 'TKT2']",0,0,0,0,0,0,0,0,1,1
"ACALD, ALCD2x, GLCabcpp",0.194807480315357,0.0645716400339204,0.0645994277795107,"['ACALD', 'ALCD2x', 'GLCabcpp']",1,1,1,0,0,0,0,0,0,0
"ACALD, ALCD2x, GND",0.194807480315342,0.0645716400337619,0.064599427750424,"['ACALD', 'ALCD2x', 'GND']",1,1,0,1,0,0,0,0,0,0
"ACALD, ALCD2x, HEX1",0.194807480315006,0.0645716400338758,0.0645994278367324,"['ACALD', 'ALCD2x', 'HEX1']",1,1,0,0,1,0,0,0,0,0
"ACALD, ALCD2x, LDH_D",0.194807480315363,0.0645716400338858,0.0645994277737922,"['ACALD', 'ALCD2x', 'LDH_D']",1,1,0,0,0,1,0,0,0,0
"ACALD, ALCD2x, PFL",0.187835287643273,0.0622606067330647,0.798973498811413,"['ACALD', 'ALCD2x', 'PFL']",1,1,0,0,0,0,1,0,0,0
"ACALD, ALCD2x, PFK",0.19480748031523,0.0645716400338529,0.064599427733822,"['ACALD', 'ALCD2x', 'PFK']",1,1,0,0,0,0,0,1,0,0
"ACALD, ALCD2x, PYK",0.194807480315344,0.0645716400338757,0.0645994278196837,"['ACALD', 'ALCD2x', 'PYK']",1,1,0,0,0,0,0,0,1,0
"ACALD, ALCD2x, TKT2",0.191601956883831,0.0635091321819134,0.0635291425447633,"['ACALD', 'ALCD2x', 'TKT2']",1,1,0,0,0,0,0,0,0,1
"ACALD, GLCabcpp, GND",0.194807480315471,0.064571640033769,0.0645994278214168,"['ACALD', 'GLCabcpp', 'GND']",1,0,1,1,0,0,0,0,0,0
"ACALD, GLCabcpp, HEX1",0.194807480315466,0.064571640033856,0.0645994277596771,"['ACALD', 'GLCabcpp', 'HEX1']",1,0,1,0,1,0,0,0,0,0
"ACALD, GLCabcpp, LDH_D",0.194807480315004,0.0645716400338446,0.0645994277461029,"['ACALD', 'GLCabcpp', 'LDH_D']",1,0,1,0,0,1,0,0,0,0
"ACALD, GLCabcpp, PFL",0.189214056431828,0.0627176292961702,0.0627477815943742,"['ACALD', 'GLCabcpp', 'PFL']",1,0,1,0,0,0,1,0,0,0
"ACALD, GLCabcpp, PFK",0.19480748031538,0.0645716400338758,0.0645994277195449,"['ACALD', 'GLCabcpp', 'PFK']",1,0,1,0,0,0,0,1,0,0
"ACALD, GLCabcpp, PYK",0.194807480315241,0.0645716400338491,0.0645994277479029,"['ACALD', 'GLCabcpp', 'PYK']",1,0,1,0,0,0,0,0,1,0
"ACALD, GLCabcpp, TKT2",0.191601956884398,0.0635091321818261,0.0635291424401778,"['ACALD', 'GLCabcpp', 'TKT2']",1,0,1,0,0,0,0,0,0,1
"ACALD, GND, HEX1",0.194807480315518,0.0645716400339205,0.0645994274814985,"['ACALD', 'GND', 'HEX1']",1,0,0,1,1,0,0,0,0,0
